id	path	depth	read length
HG01771-N1-DNA1-WGS1	data/polaris/HG01771.bam	30	150
HG01772-N1-DNA1-WGS1	data/polaris/HG01772.bam	30	150
HG02015-N1-DNA1-WGS1	data/polaris/HG02015.bam	30	150
HG02016-N1-DNA1-WGS1	data/polaris/HG02016.bam	30	150
HG02017-N1-DNA1-WGS1	data/polaris/HG02017.bam	30	150
HG02068-N1-DNA1-WGS1	data/polaris/HG02068.bam	30	150
HG02069-N1-DNA1-WGS1	data/polaris/HG02069.bam	30	150
HG02070-N1-DNA1-WGS1	data/polaris/HG02070.bam	30	150
HG02071-N1-DNA1-WGS1	data/polaris/HG02071.bam	30	150
HG02072-N1-DNA1-WGS1	data/polaris/HG02072.bam	30	150
HG02073-N1-DNA1-WGS1	data/polaris/HG02073.bam	30	150
HG02074-N1-DNA1-WGS1	data/polaris/HG02074.bam	30	150
HG02075-N1-DNA1-WGS1	data/polaris/HG02075.bam	30	150
HG02076-N1-DNA1-WGS1	data/polaris/HG02076.bam	30	150
HG02129-N1-DNA1-WGS1	data/polaris/HG02129.bam	30	150
HG02130-N1-DNA1-WGS1	data/polaris/HG02130.bam	30	150
HG02131-N1-DNA1-WGS1	data/polaris/HG02131.bam	30	150
HG02356-N1-DNA1-WGS1	data/polaris/HG02356.bam	30	150
HG02372-N1-DNA1-WGS1	data/polaris/HG02372.bam	30	150
HG02373-N1-DNA1-WGS1	data/polaris/HG02373.bam	30	150
HG02374-N1-DNA1-WGS1	data/polaris/HG02374.bam	30	150
HG02375-N1-DNA1-WGS1	data/polaris/HG02375.bam	30	150
HG02381-N1-DNA1-WGS1	data/polaris/HG02381.bam	30	150
HG02383-N1-DNA1-WGS1	data/polaris/HG02383.bam	30	150
HG02384-N1-DNA1-WGS1	data/polaris/HG02384.bam	30	150
HG02385-N1-DNA1-WGS1	data/polaris/HG02385.bam	30	150
HG02386-N1-DNA1-WGS1	data/polaris/HG02386.bam	30	150
HG02388-N1-DNA1-WGS1	data/polaris/HG02388.bam	30	150
HG02391-N1-DNA1-WGS1	data/polaris/HG02391.bam	30	150
HG02409-N1-DNA1-WGS1	data/polaris/HG02409.bam	30	150
HG02512-N1-DNA1-WGS1	data/polaris/HG02512.bam	30	150
HG02513-N1-DNA1-WGS1	data/polaris/HG02513.bam	30	150
HG02514-N1-DNA1-WGS1	data/polaris/HG02514.bam	30	150
HG02521-N1-DNA1-WGS1	data/polaris/HG02521.bam	30	150
HG02522-N1-DNA1-WGS1	data/polaris/HG02522.bam	30	150
HG02523-N1-DNA1-WGS1	data/polaris/HG02523.bam	30	150
HG02524-N1-DNA1-WGS1	data/polaris/HG02524.bam	30	150
HG02525-N1-DNA1-WGS1	data/polaris/HG02525.bam	30	150
