Sample.ID	ENA	Family.ID	Sex
HG01628	ERR1955483	IBS015	F
HG01630	ERR1955494	IBS015	M
HG01625	ERR1955537	IBS016	M
HG01626	ERR1955536	IBS016	F
HG01623	ERR1955531	IBS017	F
HG01624	ERR1955454	IBS017	M
HG01619	ERR1955411	IBS018	M
HG01620	ERR1955480	IBS018	F
HG01682	ERR1955404	IBS030	M
HG01684	ERR1955491	IBS030	F
HG01685	ERR1955444	IBS031	F
HG01686	ERR1955539	IBS031	M
HG01707	ERR1955410	IBS038	F
HG01708	ERR1955504	IBS038	M
HG01756	ERR1955433	IBS044	M
HG01757	ERR1955532	IBS044	F
HG01761	ERR1955471	IBS046	M
HG01762	ERR1955509	IBS046	F
HG01770	ERR1955435	IBS049	F
HG01771	ERR1955499	IBS049	M
