Algorithm	N	Threshold	TR	Filter	Percentage
GGTyper	367	46	0.5068119891008175	Quality	0.9657894736842105
Paragraph(Graph)	349	46	0.4785100286532951	Quality	0.9041450777202072
Paragraph(VCF)	134	46	0.43283582089552236	Quality	0.3471502590673575
BayesTyper	153	48	0.48366013071895425	Quality	0.7285714285714285
GGTyper	367	48	0.5068119891008175	Quality	0.9657894736842105
Paragraph(Graph)	343	48	0.47230320699708456	Quality	0.8886010362694301
Paragraph(VCF)	124	48	0.41935483870967744	Quality	0.32124352331606215
BayesTyper	153	50	0.48366013071895425	Quality	0.7285714285714285
GGTyper	365	50	0.5068493150684932	Quality	0.9605263157894737
Paragraph(Graph)	340	50	0.47058823529411764	Quality	0.8808290155440415
Paragraph(VCF)	112	50	0.4107142857142857	Quality	0.29015544041450775
BayesTyper	153	52	0.48366013071895425	Quality	0.7285714285714285
GGTyper	365	52	0.5068493150684932	Quality	0.9605263157894737
Paragraph(Graph)	335	52	0.46865671641791046	Quality	0.8678756476683938
Paragraph(VCF)	101	52	0.4158415841584158	Quality	0.2616580310880829
BayesTyper	153	54	0.48366013071895425	Quality	0.7285714285714285
GGTyper	365	54	0.5068493150684932	Quality	0.9605263157894737
Paragraph(Graph)	332	54	0.46686746987951805	Quality	0.8601036269430051
Paragraph(VCF)	94	54	0.3829787234042553	Quality	0.24352331606217617
BayesTyper	153	56	0.48366013071895425	Quality	0.7285714285714285
GGTyper	364	56	0.5054945054945055	Quality	0.9578947368421052
Paragraph(Graph)	330	56	0.4666666666666667	Quality	0.8549222797927462
Paragraph(VCF)	81	56	0.38271604938271603	Quality	0.20984455958549222
BayesTyper	153	58	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	58	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	328	58	0.46646341463414637	Quality	0.8497409326424871
Paragraph(VCF)	75	58	0.38666666666666666	Quality	0.19430051813471502
BayesTyper	153	60	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	60	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	326	60	0.46932515337423314	Quality	0.844559585492228
Paragraph(VCF)	68	60	0.38235294117647056	Quality	0.17616580310880828
BayesTyper	153	62	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	62	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	320	62	0.46875	Quality	0.8290155440414507
Paragraph(VCF)	58	62	0.3620689655172414	Quality	0.15025906735751296
BayesTyper	153	64	0.48366013071895425	Quality	0.7285714285714285
GGTyper	363	64	0.5068870523415978	Quality	0.9552631578947368
Paragraph(Graph)	315	64	0.4666666666666667	Quality	0.8160621761658031
Paragraph(VCF)	45	64	0.3111111111111111	Quality	0.11658031088082901
BayesTyper	153	66	0.48366013071895425	Quality	0.7285714285714285
GGTyper	361	66	0.5096952908587258	Quality	0.95
Paragraph(Graph)	312	66	0.46474358974358976	Quality	0.8082901554404145
Paragraph(VCF)	41	66	0.2682926829268293	Quality	0.10621761658031088
BayesTyper	153	68	0.48366013071895425	Quality	0.7285714285714285
GGTyper	361	68	0.5096952908587258	Quality	0.95
Paragraph(Graph)	308	68	0.4642857142857143	Quality	0.7979274611398963
Paragraph(VCF)	32	68	0.21875	Quality	0.08290155440414508
BayesTyper	153	70	0.48366013071895425	Quality	0.7285714285714285
GGTyper	360	70	0.5111111111111111	Quality	0.9473684210526315
Paragraph(Graph)	303	70	0.45874587458745875	Quality	0.7849740932642487
Paragraph(VCF)	28	70	0.21428571428571427	Quality	0.07253886010362694
BayesTyper	153	72	0.48366013071895425	Quality	0.7285714285714285
GGTyper	360	72	0.5111111111111111	Quality	0.9473684210526315
Paragraph(Graph)	302	72	0.4602649006622517	Quality	0.7823834196891192
Paragraph(VCF)	26	72	0.23076923076923078	Quality	0.06735751295336788
BayesTyper	153	74	0.48366013071895425	Quality	0.7285714285714285
GGTyper	359	74	0.5125348189415042	Quality	0.9447368421052632
Paragraph(Graph)	301	74	0.4584717607973422	Quality	0.7797927461139896
Paragraph(VCF)	18	74	0.16666666666666666	Quality	0.046632124352331605
BayesTyper	153	76	0.48366013071895425	Quality	0.7285714285714285
GGTyper	359	76	0.5125348189415042	Quality	0.9447368421052632
Paragraph(Graph)	298	76	0.4563758389261745	Quality	0.772020725388601
Paragraph(VCF)	13	76	0.23076923076923078	Quality	0.03367875647668394
BayesTyper	153	78	0.48366013071895425	Quality	0.7285714285714285
GGTyper	357	78	0.5126050420168067	Quality	0.9394736842105263
Paragraph(Graph)	293	78	0.4539249146757679	Quality	0.7590673575129534
Paragraph(VCF)	12	78	0.25	Quality	0.031088082901554404
BayesTyper	153	80	0.48366013071895425	Quality	0.7285714285714285
GGTyper	357	80	0.5126050420168067	Quality	0.9394736842105263
Paragraph(Graph)	290	80	0.4586206896551724	Quality	0.7512953367875648
Paragraph(VCF)	10	80	0.2	Quality	0.025906735751295335
BayesTyper	153	82	0.48366013071895425	Quality	0.7285714285714285
GGTyper	355	82	0.5126760563380282	Quality	0.9342105263157895
Paragraph(Graph)	284	82	0.45422535211267606	Quality	0.7357512953367875
Paragraph(VCF)	9	82	0.2222222222222222	Quality	0.023316062176165803
BayesTyper	153	84	0.48366013071895425	Quality	0.7285714285714285
GGTyper	352	84	0.5113636363636364	Quality	0.9263157894736842
Paragraph(Graph)	280	84	0.45357142857142857	Quality	0.7253886010362695
Paragraph(VCF)	8	84	0.125	Quality	0.02072538860103627
BayesTyper	153	86	0.48366013071895425	Quality	0.7285714285714285
GGTyper	348	86	0.514367816091954	Quality	0.9157894736842105
Paragraph(Graph)	275	86	0.44727272727272727	Quality	0.7124352331606217
Paragraph(VCF)	6	86	0.16666666666666666	Quality	0.015544041450777202
BayesTyper	153	88	0.48366013071895425	Quality	0.7285714285714285
GGTyper	346	88	0.5173410404624278	Quality	0.9105263157894737
Paragraph(Graph)	271	88	0.44649446494464945	Quality	0.7020725388601037
Paragraph(VCF)	5	88	0.2	Quality	0.012953367875647668
BayesTyper	153	90	0.48366013071895425	Quality	0.7285714285714285
GGTyper	345	90	0.5159420289855072	Quality	0.9078947368421053
Paragraph(Graph)	265	90	0.4377358490566038	Quality	0.6865284974093264
Paragraph(VCF)	4	90	0.25	Quality	0.010362694300518135
BayesTyper	153	92	0.48366013071895425	Quality	0.7285714285714285
GGTyper	344	92	0.5174418604651163	Quality	0.9052631578947369
Paragraph(Graph)	258	92	0.43410852713178294	Quality	0.6683937823834197
Paragraph(VCF)	2	92	0	Quality	0.0051813471502590676
BayesTyper	153	94	0.48366013071895425	Quality	0.7285714285714285
GGTyper	340	94	0.5235294117647059	Quality	0.8947368421052632
Paragraph(Graph)	256	94	0.43359375	Quality	0.6632124352331606
BayesTyper	153	96	0.48366013071895425	Quality	0.7285714285714285
GGTyper	337	96	0.5281899109792285	Quality	0.8868421052631579
Paragraph(Graph)	252	96	0.42857142857142855	Quality	0.6528497409326425
BayesTyper	153	98	0.48366013071895425	Quality	0.7285714285714285
GGTyper	334	98	0.5269461077844312	Quality	0.8789473684210526
Paragraph(Graph)	246	98	0.4268292682926829	Quality	0.6373056994818653
GGTyper	334	100	0.5269461077844312	Quality	0.8789473684210526
Paragraph(Graph)	242	100	0.4256198347107438	Quality	0.6269430051813472
GGTyper	331	102	0.5287009063444109	Quality	0.8710526315789474
Paragraph(Graph)	241	102	0.42738589211618255	Quality	0.6243523316062176
GGTyper	327	104	0.5259938837920489	Quality	0.8605263157894737
Paragraph(Graph)	240	104	0.425	Quality	0.6217616580310881
GGTyper	325	106	0.5261538461538462	Quality	0.8552631578947368
Paragraph(Graph)	232	106	0.4267241379310345	Quality	0.6010362694300518
GGTyper	324	108	0.5246913580246914	Quality	0.8526315789473684
Paragraph(Graph)	224	108	0.42410714285714285	Quality	0.5803108808290155
GGTyper	320	110	0.51875	Quality	0.8421052631578947
Paragraph(Graph)	219	110	0.410958904109589	Quality	0.5673575129533679
GGTyper	315	112	0.5174603174603175	Quality	0.8289473684210527
Paragraph(Graph)	207	112	0.42028985507246375	Quality	0.5362694300518135
GGTyper	313	114	0.5175718849840255	Quality	0.8236842105263158
Paragraph(Graph)	198	114	0.42424242424242425	Quality	0.5129533678756477
GGTyper	309	116	0.5145631067961165	Quality	0.8131578947368421
Paragraph(Graph)	188	116	0.4148936170212766	Quality	0.48704663212435234
GGTyper	309	118	0.5145631067961165	Quality	0.8131578947368421
Paragraph(Graph)	177	118	0.4180790960451977	Quality	0.4585492227979275
GGTyper	309	120	0.5145631067961165	Quality	0.8131578947368421
Paragraph(Graph)	167	120	0.41916167664670656	Quality	0.4326424870466321
GGTyper	307	122	0.5146579804560261	Quality	0.8078947368421052
Paragraph(Graph)	165	122	0.41818181818181815	Quality	0.4274611398963731
GGTyper	305	124	0.5147540983606558	Quality	0.8026315789473685
Paragraph(Graph)	158	124	0.4240506329113924	Quality	0.40932642487046633
GGTyper	300	126	0.52	Quality	0.7894736842105263
Paragraph(Graph)	146	126	0.4246575342465753	Quality	0.37823834196891193
GGTyper	297	128	0.5252525252525253	Quality	0.781578947368421
Paragraph(Graph)	139	128	0.4028776978417266	Quality	0.3601036269430052
GGTyper	293	130	0.5290102389078498	Quality	0.7710526315789473
Paragraph(Graph)	135	130	0.3925925925925926	Quality	0.34974093264248707
GGTyper	290	132	0.5275862068965518	Quality	0.7631578947368421
Paragraph(Graph)	131	132	0.3969465648854962	Quality	0.3393782383419689
GGTyper	286	134	0.527972027972028	Quality	0.7526315789473684
Paragraph(Graph)	123	134	0.4146341463414634	Quality	0.31865284974093266
GGTyper	282	136	0.5319148936170213	Quality	0.7421052631578947
Paragraph(Graph)	118	136	0.4067796610169492	Quality	0.30569948186528495
GGTyper	281	138	0.5338078291814946	Quality	0.7394736842105263
Paragraph(Graph)	106	138	0.37735849056603776	Quality	0.27461139896373055
GGTyper	274	140	0.5328467153284672	Quality	0.7210526315789474
Paragraph(Graph)	95	140	0.3684210526315789	Quality	0.24611398963730569
GGTyper	271	142	0.5276752767527675	Quality	0.7131578947368421
Paragraph(Graph)	88	142	0.36363636363636365	Quality	0.22797927461139897
GGTyper	268	144	0.5298507462686567	Quality	0.7052631578947368
Paragraph(Graph)	76	144	0.34210526315789475	Quality	0.19689119170984457
GGTyper	262	146	0.5343511450381679	Quality	0.6894736842105263
Paragraph(Graph)	74	146	0.35135135135135137	Quality	0.19170984455958548
GGTyper	259	148	0.5366795366795367	Quality	0.6815789473684211
Paragraph(Graph)	66	148	0.3484848484848485	Quality	0.17098445595854922
GGTyper	254	150	0.5275590551181102	Quality	0.6684210526315789
Paragraph(Graph)	62	150	0.3387096774193548	Quality	0.16062176165803108
GGTyper	251	152	0.5219123505976095	Quality	0.6605263157894737
Paragraph(Graph)	60	152	0.31666666666666665	Quality	0.15544041450777202
GGTyper	249	154	0.5220883534136547	Quality	0.6552631578947369
Paragraph(Graph)	54	154	0.3148148148148148	Quality	0.13989637305699482
GGTyper	247	156	0.5263157894736842	Quality	0.65
Paragraph(Graph)	48	156	0.3333333333333333	Quality	0.12435233160621761
GGTyper	244	158	0.5286885245901639	Quality	0.6421052631578947
Paragraph(Graph)	47	158	0.3191489361702128	Quality	0.12176165803108809
GGTyper	240	160	0.525	Quality	0.631578947368421
Paragraph(Graph)	46	160	0.30434782608695654	Quality	0.11917098445595854
GGTyper	238	162	0.5210084033613446	Quality	0.6263157894736842
Paragraph(Graph)	42	162	0.30952380952380953	Quality	0.10880829015544041
GGTyper	233	164	0.5236051502145923	Quality	0.6131578947368421
Paragraph(Graph)	41	164	0.3170731707317073	Quality	0.10621761658031088
GGTyper	233	166	0.5236051502145923	Quality	0.6131578947368421
Paragraph(Graph)	41	166	0.3170731707317073	Quality	0.10621761658031088
GGTyper	231	168	0.5238095238095238	Quality	0.6078947368421053
Paragraph(Graph)	35	168	0.2571428571428571	Quality	0.09067357512953368
GGTyper	228	170	0.5219298245614035	Quality	0.6
Paragraph(Graph)	34	170	0.23529411764705882	Quality	0.08808290155440414
GGTyper	225	172	0.52	Quality	0.5921052631578947
Paragraph(Graph)	32	172	0.25	Quality	0.08290155440414508
GGTyper	221	174	0.5203619909502263	Quality	0.5815789473684211
Paragraph(Graph)	28	174	0.25	Quality	0.07253886010362694
GGTyper	220	176	0.5181818181818182	Quality	0.5789473684210527
Paragraph(Graph)	23	176	0.21739130434782608	Quality	0.05958549222797927
GGTyper	213	178	0.5305164319248826	Quality	0.5605263157894737
Paragraph(Graph)	23	178	0.21739130434782608	Quality	0.05958549222797927
GGTyper	207	180	0.5265700483091788	Quality	0.5447368421052632
Paragraph(Graph)	22	180	0.18181818181818182	Quality	0.05699481865284974
GGTyper	203	182	0.5221674876847291	Quality	0.5342105263157895
Paragraph(Graph)	16	182	0.125	Quality	0.04145077720207254
GGTyper	198	184	0.5303030303030303	Quality	0.5210526315789473
Paragraph(Graph)	16	184	0.125	Quality	0.04145077720207254
GGTyper	197	186	0.5279187817258884	Quality	0.5184210526315789
Paragraph(Graph)	16	186	0.125	Quality	0.04145077720207254
GGTyper	192	188	0.53125	Quality	0.5052631578947369
Paragraph(Graph)	15	188	0.13333333333333333	Quality	0.038860103626943004
GGTyper	190	190	0.531578947368421	Quality	0.5
Paragraph(Graph)	12	190	0.16666666666666666	Quality	0.031088082901554404
GGTyper	190	192	0.531578947368421	Quality	0.5
Paragraph(Graph)	10	192	0.1	Quality	0.025906735751295335
GGTyper	188	194	0.5372340425531915	Quality	0.49473684210526314
Paragraph(Graph)	10	194	0.1	Quality	0.025906735751295335
GGTyper	185	196	0.5405405405405406	Quality	0.4868421052631579
Paragraph(Graph)	9	196	0.1111111111111111	Quality	0.023316062176165803
GGTyper	180	198	0.55	Quality	0.47368421052631576
Paragraph(Graph)	9	198	0.1111111111111111	Quality	0.023316062176165803
GGTyper	176	200	0.5568181818181818	Quality	0.4631578947368421
Paragraph(Graph)	7	200	0.14285714285714285	Quality	0.018134715025906734
GGTyper	173	202	0.5606936416184971	Quality	0.45526315789473687
Paragraph(Graph)	5	202	0.2	Quality	0.012953367875647668
GGTyper	170	204	0.5588235294117647	Quality	0.4473684210526316
Paragraph(Graph)	5	204	0.2	Quality	0.012953367875647668
GGTyper	163	206	0.5644171779141104	Quality	0.42894736842105263
Paragraph(Graph)	5	206	0.2	Quality	0.012953367875647668
GGTyper	161	208	0.5714285714285714	Quality	0.4236842105263158
Paragraph(Graph)	4	208	0	Quality	0.010362694300518135
GGTyper	158	210	0.569620253164557	Quality	0.41578947368421054
Paragraph(Graph)	3	210	0	Quality	0.007772020725388601
GGTyper	156	212	0.5705128205128205	Quality	0.4105263157894737
Paragraph(Graph)	3	212	0	Quality	0.007772020725388601
GGTyper	155	214	0.567741935483871	Quality	0.40789473684210525
Paragraph(Graph)	3	214	0	Quality	0.007772020725388601
GGTyper	150	216	0.5733333333333334	Quality	0.39473684210526316
Paragraph(Graph)	2	216	0	Quality	0.0051813471502590676
GGTyper	147	218	0.5782312925170068	Quality	0.3868421052631579
Paragraph(Graph)	2	218	0	Quality	0.0051813471502590676
GGTyper	144	220	0.5833333333333334	Quality	0.37894736842105264
Paragraph(Graph)	2	220	0	Quality	0.0051813471502590676
GGTyper	140	222	0.5857142857142857	Quality	0.3684210526315789
Paragraph(Graph)	2	222	0	Quality	0.0051813471502590676
GGTyper	140	224	0.5857142857142857	Quality	0.3684210526315789
Paragraph(Graph)	2	224	0	Quality	0.0051813471502590676
GGTyper	137	226	0.583941605839416	Quality	0.3605263157894737
Paragraph(Graph)	2	226	0	Quality	0.0051813471502590676
GGTyper	136	228	0.5882352941176471	Quality	0.35789473684210527
Paragraph(Graph)	2	228	0	Quality	0.0051813471502590676
GGTyper	130	230	0.5923076923076923	Quality	0.34210526315789475
Paragraph(Graph)	2	230	0	Quality	0.0051813471502590676
GGTyper	127	232	0.6062992125984252	Quality	0.33421052631578946
Paragraph(Graph)	1	232	0	Quality	0.0025906735751295338
GGTyper	125	234	0.6	Quality	0.32894736842105265
Paragraph(Graph)	1	234	0	Quality	0.0025906735751295338
GGTyper	125	236	0.6	Quality	0.32894736842105265
