Time	RSS	CPU
806	524460	138.5
808	523844	1200
810	524344	923.1
813	520976	1200
815	523956	876.9
817	524000	1023
819	524320	150.0
821	523956	992.3
823	523708	1169
826	524980	1000
828	528248	1008
830	537068	1031
832	530860	1200
834	535152	1162
837	533676	992.3
839	532040	1046
841	534692	723.1
843	534788	438.5
845	536140	1192
847	537284	1114
850	532976	842.9
852	531424	950.0
854	531160	1000
856	533312	1200
858	536716	1083
860	532820	1031
863	530020	1192
865	530152	1062
867	531720	1000
869	527028	1200
871	532088	1200
873	531424	1200
876	530132	1200
878	532076	1154
880	531800	838.5
882	531836	378.6
884	530388	1085
886	529620	1154
889	529592	1129
891	561968	1100
893	626592	1136
895	626592	1200
897	626592	1200
900	626592	1200
902	626904	1192
904	624452	1177
906	626608	1185
908	627136	1057
910	629776	1185
912	629608	1200
915	633280	1177
917	635920	1200
919	630192	1138
921	636788	1131
923	642144	1200
926	643024	1121
928	643708	1185
930	644280	1185
932	642732	1069
934	642864	1200
936	642872	1200
939	642872	1185
941	643944	1121
943	642084	1079
945	642112	1200
947	642640	1143
949	640484	1146
952	641228	1171
954	641492	1200
956	641492	1185
958	639620	1192
960	640148	1192
962	638884	1169
964	635736	1169
967	635132	1177
969	636220	1071
971	635824	1200
973	637932	1177
975	637016	1060
978	635712	1200
980	638088	1177
982	638044	1162
984	638044	1123
986	638536	1185
988	640080	1185
990	640344	1154
993	639560	1185
995	640880	1107
997	641116	1146
999	639440	1200
1001	634560	1085
1003	636144	1177
1006	635184	1200
1008	633644	1200
1010	635288	1129
1012	635288	1200
1014	634252	1169
1016	634252	1177
1019	635816	1200
1021	634748	1192
1023	624936	1064
1025	629708	1100
1027	630980	1185
1029	633852	1164
1032	635812	1200
1034	638116	1146
1036	640000	1169
1038	639604	1064
1040	642452	1200
1042	643360	1146
1045	641672	1079
1047	642848	1200
1049	643224	1200
1051	622868	1185
1053	614396	921.4
1056	576616	1123
1058	570248	1154
1060	561572	869.2
1062	561572	1192
1064	561772	846.2
1066	550116	1131
1068	550116	946.2
1071	550116	1079
1073	550316	1138
1075	550388	1123
1077	557780	1177
1079	588716	768.8
1082	588948	1177
1084	588772	115.4
1086	588844	1200
1088	588744	1200
1090	588744	0.0
1093	588688	285.7
1095	588928	830.8
1097	589436	1200
1099	561720	1123
1102	589160	14.3
1104	589228	1200
1106	589588	33.3
1108	589976	453.8
1111	589812	1200
1113	575196	1069
1115	589544	292.3
1117	582528	1200
1119	589264	1123
1122	589472	123.1
1124	589300	215.4
1126	589088	1086
1128	589052	1021
1131	589148	1129
1133	582284	515.4
1135	589284	7.7
1137	590192	400.0
1139	589564	400.0
1142	589392	807.7
1144	588920	1200
1146	588880	7.7
1149	589224	107.7
1151	588744	207.7
1153	588940	1200
1155	573724	1077
1158	559476	1062
1160	539880	971.4
1162	540196	1046
1165	540616	1185
1167	540784	1200
1169	540812	1015
1171	540812	507.7
1173	540812	1079
1175	541136	1138
1178	541304	1046
1180	541304	1138
1182	541304	961.5
1184	541320	1162
1186	541320	814.3
1189	541532	869.2
1191	541744	978.6
1193	542108	1008
1195	542108	1154
1197	542108	1115
1200	542108	1069
1202	542108	742.9
1204	542108	416.7
1206	542108	1107
1208	542108	638.5
1210	542108	653.8
1213	542108	1177
1215	542108	53.8
1217	542108	1123
1219	542108	1108
1221	469612	64.3
