N	Percentage	TR	Threshold	Filter
2467	0.08249180766401391	0.6915281718686664	236	Quality
2376	0.07944894001203771	0.6948653198653199	238	Quality
2273	0.07600481508727346	0.6964364276286845	240	Quality
2175	0.07272788069283756	0.7002298850574713	242	Quality
2069	0.06918344144987627	0.7051715804736588	244	Quality
1982	0.06627432622216278	0.7073662966700303	246	Quality
1864	0.06232862970641343	0.7145922746781116	248	Quality
1763	0.058951380993780514	0.7158252977878616	250	Quality
1659	0.055473817962950575	0.7179023508137432	252	Quality
1566	0.05236407409884304	0.7215836526181354	254	Quality
1485	0.04965558750752357	0.7191919191919192	256	Quality
1400	0.046813348491941416	0.7264285714285714	258	Quality
1338	0.04474018591586972	0.7324364723467862	260	Quality
1265	0.04229920417307564	0.7399209486166007	262	Quality
1189	0.03975790811208453	0.7451640033641715	264	Quality
1126	0.03765130742994717	0.7619893428063943	266	Quality
1071	0.035812211596335186	0.7675070028011205	268	Quality
1005	0.033605296596000804	0.7711442786069652	270	Quality
936	0.03129806727746941	0.7713675213675214	272	Quality
888	0.029693038186317126	0.7759009009009009	274	Quality
844	0.02822176151942754	0.7784360189573459	276	Quality
792	0.02648298000401257	0.7904040404040404	278	Quality
740	0.024744198488597605	0.8013513513513514	280	Quality
704	0.023540426670233396	0.8096590909090909	282	Quality
679	0.022704474018591585	0.8144329896907216	284	Quality
648	0.021667892730555742	0.8179012345679012	286	Quality
597	0.019962549321206446	0.8207705192629816	288	Quality
568	0.018992844245301947	0.8274647887323944	290	Quality
545	0.01822376780579148	0.8293577981651377	292	Quality
522	0.017454691366281014	0.8352490421455939	294	Quality
493	0.016484986290376515	0.8356997971602435	296	Quality
471	0.015749347956931718	0.8343949044585988	298	Quality
441	0.014746204774961547	0.8367346938775511	300	Quality
413	0.013809937805122718	0.8547215496368039	302	Quality
381	0.012739918411021199	0.868766404199475	304	Quality
359	0.012004280077576406	0.871866295264624	306	Quality
338	0.011302079850197285	0.8757396449704142	308	Quality
313	0.010466127198555475	0.8785942492012779	310	Quality
295	0.00986424128937337	0.8779661016949153	312	Quality
280	0.009362669698388284	0.8785714285714286	314	Quality
256	0.008560155152812145	0.8984375	316	Quality
252	0.008426402728549455	0.9087301587301587	318	Quality
230	0.007690764395104661	0.9173913043478261	320	Quality
227	0.007590450076907644	0.9162995594713657	322	Quality
219	0.0073229452283822645	0.91324200913242	324	Quality
212	0.007088878485922557	0.910377358490566	326	Quality
202	0.006754497425265833	0.905940594059406	328	Quality
197	0.006587306894937471	0.9086294416243654	330	Quality
187	0.006252925834280746	0.9090909090909091	332	Quality
171	0.005717916137229987	0.9181286549707602	334	Quality
163	0.005450411288704608	0.9202453987730062	336	Quality
156	0.0052163445462449	0.9230769230769231	338	Quality
145	0.004848525379522504	0.9172413793103448	340	Quality
142	0.004748211061325487	0.9295774647887324	342	Quality
139	0.004647896743128469	0.9280575539568345	344	Quality
131	0.0043803918946030895	0.9236641221374046	346	Quality
124	0.004146325152143382	0.9193548387096774	348	Quality
121	0.004046010833946365	0.9256198347107438	350	Quality
115	0.0038453821975523305	0.9217391304347826	352	Quality
111	0.003711629773289641	0.918918918918919	354	Quality
110	0.0036781916672239683	0.9181818181818182	356	Quality
105	0.003511001136895606	0.9142857142857143	358	Quality
97	0.003243496288370227	0.9072164948453608	360	Quality
93	0.003109743864107537	0.9032258064516129	362	Quality
91	0.003042867651976192	0.9010989010989011	364	Quality
87	0.0029091152277135024	0.896551724137931	366	Quality
87	0.0029091152277135024	0.896551724137931	368	Quality
86	0.00287567712164783	0.8953488372093024	370	Quality
83	0.0027753628034508124	0.9036144578313253	372	Quality
80	0.0026750484852537952	0.9125	374	Quality
79	0.0026416103791881227	0.9113924050632911	376	Quality
79	0.0026416103791881227	0.9113924050632911	378	Quality
78	0.00260817227312245	0.9102564102564102	380	Quality
75	0.002507857954925433	0.9066666666666666	382	Quality
74	0.0024744198488597605	0.918918918918919	384	Quality
74	0.0024744198488597605	0.918918918918919	386	Quality
66	0.0022069150003343812	0.9090909090909091	388	Quality
65	0.0021734768942687087	0.9076923076923077	390	Quality
63	0.0021066006821373637	0.9047619047619048	392	Quality
63	0.0021066006821373637	0.9047619047619048	394	Quality
62	0.002073162576071691	0.9032258064516129	396	Quality
62	0.002073162576071691	0.9032258064516129	398	Quality
62	0.002073162576071691	0.9032258064516129	400	Quality
62	0.002073162576071691	0.9032258064516129	402	Quality
61	0.002039724470006019	0.9016393442622951	404	Quality
59	0.001972848257874674	0.8983050847457628	406	Quality
59	0.001972848257874674	0.8983050847457628	408	Quality
59	0.001972848257874674	0.8983050847457628	410	Quality
59	0.001972848257874674	0.8983050847457628	412	Quality
57	0.0019059720457433292	0.8947368421052632	414	Quality
57	0.0019059720457433292	0.8947368421052632	416	Quality
57	0.0019059720457433292	0.8947368421052632	418	Quality
57	0.0019059720457433292	0.8947368421052632	420	Quality
57	0.0019059720457433292	0.8947368421052632	422	Quality
57	0.0019059720457433292	0.8947368421052632	424	Quality
56	0.0018725339396776567	0.9107142857142857	426	Quality
56	0.0018725339396776567	0.9107142857142857	428	Quality
56	0.0018725339396776567	0.9107142857142857	430	Quality
56	0.0018725339396776567	0.9107142857142857	432	Quality
56	0.0018725339396776567	0.9107142857142857	434	Quality
56	0.0018725339396776567	0.9107142857142857	436	Quality
56	0.0018725339396776567	0.9107142857142857	438	Quality
56	0.0018725339396776567	0.9107142857142857	440	Quality
55	0.0018390958336119841	0.9272727272727272	442	Quality
54	0.0018056577275463118	0.9259259259259259	444	Quality
54	0.0018056577275463118	0.9259259259259259	446	Quality
54	0.0018056577275463118	0.9259259259259259	448	Quality
54	0.0018056577275463118	0.9259259259259259	450	Quality
52	0.0017387815154149668	0.9230769230769231	452	Quality
50	0.001671905303283622	0.94	454	Quality
50	0.001671905303283622	0.94	456	Quality
50	0.001671905303283622	0.94	458	Quality
50	0.001671905303283622	0.94	460	Quality
50	0.001671905303283622	0.94	462	Quality
50	0.001671905303283622	0.94	464	Quality
50	0.001671905303283622	0.94	466	Quality
50	0.001671905303283622	0.94	468	Quality
50	0.001671905303283622	0.94	470	Quality
50	0.001671905303283622	0.94	472	Quality
50	0.001671905303283622	0.94	474	Quality
50	0.001671905303283622	0.94	476	Quality
50	0.001671905303283622	0.94	478	Quality
50	0.001671905303283622	0.94	480	Quality
50	0.001671905303283622	0.94	482	Quality
50	0.001671905303283622	0.94	484	Quality
50	0.001671905303283622	0.94	486	Quality
50	0.001671905303283622	0.94	488	Quality
50	0.001671905303283622	0.94	490	Quality
50	0.001671905303283622	0.94	492	Quality
50	0.001671905303283622	0.94	494	Quality
50	0.001671905303283622	0.94	496	Quality
50	0.001671905303283622	0.94	498	Quality
50	0.001671905303283622	0.94	500	Quality
50	0.001671905303283622	0.94	502	Quality
50	0.001671905303283622	0.94	504	Quality
50	0.001671905303283622	0.94	506	Quality
49	0.0016384671972179497	0.9387755102040817	508	Quality
49	0.0016384671972179497	0.9387755102040817	510	Quality
49	0.0016384671972179497	0.9387755102040817	512	Quality
49	0.0016384671972179497	0.9387755102040817	514	Quality
49	0.0016384671972179497	0.9387755102040817	516	Quality
49	0.0016384671972179497	0.9387755102040817	518	Quality
49	0.0016384671972179497	0.9387755102040817	520	Quality
49	0.0016384671972179497	0.9387755102040817	522	Quality
48	0.0016050290911522771	0.9375	524	Quality
48	0.0016050290911522771	0.9375	526	Quality
48	0.0016050290911522771	0.9375	528	Quality
48	0.0016050290911522771	0.9375	530	Quality
48	0.0016050290911522771	0.9375	532	Quality
48	0.0016050290911522771	0.9375	534	Quality
47	0.0015715909850866046	0.9361702127659575	536	Quality
47	0.0015715909850866046	0.9361702127659575	538	Quality
47	0.0015715909850866046	0.9361702127659575	540	Quality
46	0.0015381528790209323	0.9347826086956522	542	Quality
46	0.0015381528790209323	0.9347826086956522	544	Quality
45	0.0015047147729552598	0.9333333333333333	546	Quality
45	0.0015047147729552598	0.9333333333333333	548	Quality
45	0.0015047147729552598	0.9333333333333333	550	Quality
45	0.0015047147729552598	0.9333333333333333	552	Quality
45	0.0015047147729552598	0.9333333333333333	554	Quality
45	0.0015047147729552598	0.9333333333333333	556	Quality
45	0.0015047147729552598	0.9333333333333333	558	Quality
45	0.0015047147729552598	0.9333333333333333	560	Quality
45	0.0015047147729552598	0.9333333333333333	562	Quality
45	0.0015047147729552598	0.9333333333333333	564	Quality
45	0.0015047147729552598	0.9333333333333333	566	Quality
43	0.001437838560823915	0.9534883720930233	568	Quality
43	0.001437838560823915	0.9534883720930233	570	Quality
43	0.001437838560823915	0.9534883720930233	572	Quality
43	0.001437838560823915	0.9534883720930233	574	Quality
43	0.001437838560823915	0.9534883720930233	576	Quality
43	0.001437838560823915	0.9534883720930233	578	Quality
43	0.001437838560823915	0.9534883720930233	580	Quality
43	0.001437838560823915	0.9534883720930233	582	Quality
43	0.001437838560823915	0.9534883720930233	584	Quality
43	0.001437838560823915	0.9534883720930233	586	Quality
43	0.001437838560823915	0.9534883720930233	588	Quality
43	0.001437838560823915	0.9534883720930233	590	Quality
43	0.001437838560823915	0.9534883720930233	592	Quality
43	0.001437838560823915	0.9534883720930233	594	Quality
43	0.001437838560823915	0.9534883720930233	596	Quality
43	0.001437838560823915	0.9534883720930233	598	Quality
43	0.001437838560823915	0.9534883720930233	600	Quality
43	0.001437838560823915	0.9534883720930233	602	Quality
43	0.001437838560823915	0.9534883720930233	604	Quality
43	0.001437838560823915	0.9534883720930233	606	Quality
42	0.0014044004547582424	0.9523809523809523	608	Quality
42	0.0014044004547582424	0.9523809523809523	610	Quality
42	0.0014044004547582424	0.9523809523809523	612	Quality
42	0.0014044004547582424	0.9523809523809523	614	Quality
42	0.0014044004547582424	0.9523809523809523	616	Quality
41	0.0013709623486925701	0.9512195121951219	618	Quality
41	0.0013709623486925701	0.9512195121951219	620	Quality
41	0.0013709623486925701	0.9512195121951219	622	Quality
41	0.0013709623486925701	0.9512195121951219	624	Quality
41	0.0013709623486925701	0.9512195121951219	626	Quality
41	0.0013709623486925701	0.9512195121951219	628	Quality
41	0.0013709623486925701	0.9512195121951219	630	Quality
41	0.0013709623486925701	0.9512195121951219	632	Quality
40	0.0013375242426268976	0.95	634	Quality
40	0.0013375242426268976	0.95	636	Quality
40	0.0013375242426268976	0.95	638	Quality
40	0.0013375242426268976	0.95	640	Quality
40	0.0013375242426268976	0.95	642	Quality
39	0.001304086136561225	0.9487179487179487	644	Quality
38	0.0012706480304955528	0.9473684210526315	646	Quality
38	0.0012706480304955528	0.9473684210526315	648	Quality
38	0.0012706480304955528	0.9473684210526315	650	Quality
38	0.0012706480304955528	0.9473684210526315	652	Quality
38	0.0012706480304955528	0.9473684210526315	654	Quality
37	0.0012372099244298803	0.9459459459459459	656	Quality
37	0.0012372099244298803	0.9459459459459459	658	Quality
37	0.0012372099244298803	0.9459459459459459	660	Quality
37	0.0012372099244298803	0.9459459459459459	662	Quality
37	0.0012372099244298803	0.9459459459459459	664	Quality
37	0.0012372099244298803	0.9459459459459459	666	Quality
37	0.0012372099244298803	0.9459459459459459	668	Quality
37	0.0012372099244298803	0.9459459459459459	670	Quality
37	0.0012372099244298803	0.9459459459459459	672	Quality
37	0.0012372099244298803	0.9459459459459459	674	Quality
37	0.0012372099244298803	0.9459459459459459	676	Quality
37	0.0012372099244298803	0.9459459459459459	678	Quality
37	0.0012372099244298803	0.9459459459459459	680	Quality
37	0.0012372099244298803	0.9459459459459459	682	Quality
36	0.0012037718183642077	0.9444444444444444	684	Quality
36	0.0012037718183642077	0.9444444444444444	686	Quality
36	0.0012037718183642077	0.9444444444444444	688	Quality
33	0.0011034575001671906	0.9393939393939394	690	Quality
33	0.0011034575001671906	0.9393939393939394	692	Quality
33	0.0011034575001671906	0.9393939393939394	694	Quality
33	0.0011034575001671906	0.9393939393939394	696	Quality
32	0.001070019394101518	0.9375	698	Quality
32	0.001070019394101518	0.9375	700	Quality
32	0.001070019394101518	0.9375	702	Quality
32	0.001070019394101518	0.9375	704	Quality
32	0.001070019394101518	0.9375	706	Quality
32	0.001070019394101518	0.9375	708	Quality
32	0.001070019394101518	0.9375	710	Quality
32	0.001070019394101518	0.9375	712	Quality
31	0.0010365812880358456	0.9354838709677419	714	Quality
30	0.0010031431819701733	0.9333333333333333	716	Quality
30	0.0010031431819701733	0.9333333333333333	718	Quality
30	0.0010031431819701733	0.9333333333333333	720	Quality
29	9.697050759045007e-4	0.9655172413793104	722	Quality
29	9.697050759045007e-4	0.9655172413793104	724	Quality
28	9.362669698388283e-4	0.9642857142857143	726	Quality
28	9.362669698388283e-4	0.9642857142857143	728	Quality
23	7.690764395104662e-4	0.9565217391304348	730	Quality
23	7.690764395104662e-4	0.9565217391304348	732	Quality
23	7.690764395104662e-4	0.9565217391304348	734	Quality
23	7.690764395104662e-4	0.9565217391304348	736	Quality
23	7.690764395104662e-4	0.9565217391304348	738	Quality
23	7.690764395104662e-4	0.9565217391304348	740	Quality
23	7.690764395104662e-4	0.9565217391304348	742	Quality
23	7.690764395104662e-4	0.9565217391304348	744	Quality
23	7.690764395104662e-4	0.9565217391304348	746	Quality
22	7.356383334447936e-4	0.9545454545454546	748	Quality
22	7.356383334447936e-4	0.9545454545454546	750	Quality
21	7.022002273791212e-4	0.9523809523809523	752	Quality
21	7.022002273791212e-4	0.9523809523809523	754	Quality
20	6.687621213134488e-4	0.95	756	Quality
20	6.687621213134488e-4	0.95	758	Quality
20	6.687621213134488e-4	0.95	760	Quality
20	6.687621213134488e-4	0.95	762	Quality
19	6.353240152477764e-4	0.9473684210526315	764	Quality
19	6.353240152477764e-4	0.9473684210526315	766	Quality
19	6.353240152477764e-4	0.9473684210526315	768	Quality
19	6.353240152477764e-4	0.9473684210526315	770	Quality
18	6.018859091821039e-4	0.9444444444444444	772	Quality
18	6.018859091821039e-4	0.9444444444444444	774	Quality
18	6.018859091821039e-4	0.9444444444444444	776	Quality
17	5.684478031164315e-4	0.9411764705882353	778	Quality
17	5.684478031164315e-4	0.9411764705882353	780	Quality
17	5.684478031164315e-4	0.9411764705882353	782	Quality
17	5.684478031164315e-4	0.9411764705882353	784	Quality
17	5.684478031164315e-4	0.9411764705882353	786	Quality
17	5.684478031164315e-4	0.9411764705882353	788	Quality
17	5.684478031164315e-4	0.9411764705882353	790	Quality
17	5.684478031164315e-4	0.9411764705882353	792	Quality
15	5.015715909850866e-4	1	794	Quality
15	5.015715909850866e-4	1	796	Quality
13	4.346953788537417e-4	1	798	Quality
13	4.346953788537417e-4	1	800	Quality
13	4.346953788537417e-4	1	802	Quality
12	4.012572727880693e-4	1	804	Quality
10	3.343810606567244e-4	1	806	Quality
10	3.343810606567244e-4	1	808	Quality
10	3.343810606567244e-4	1	810	Quality
10	3.343810606567244e-4	1	812	Quality
10	3.343810606567244e-4	1	814	Quality
10	3.343810606567244e-4	1	816	Quality
10	3.343810606567244e-4	1	818	Quality
10	3.343810606567244e-4	1	820	Quality
10	3.343810606567244e-4	1	822	Quality
10	3.343810606567244e-4	1	824	Quality
9	3.0094295459105194e-4	1	826	Quality
9	3.0094295459105194e-4	1	828	Quality
9	3.0094295459105194e-4	1	830	Quality
9	3.0094295459105194e-4	1	832	Quality
9	3.0094295459105194e-4	1	834	Quality
9	3.0094295459105194e-4	1	836	Quality
9	3.0094295459105194e-4	1	838	Quality
9	3.0094295459105194e-4	1	840	Quality
9	3.0094295459105194e-4	1	842	Quality
9	3.0094295459105194e-4	1	844	Quality
9	3.0094295459105194e-4	1	846	Quality
9	3.0094295459105194e-4	1	848	Quality
9	3.0094295459105194e-4	1	850	Quality
9	3.0094295459105194e-4	1	852	Quality
9	3.0094295459105194e-4	1	854	Quality
9	3.0094295459105194e-4	1	856	Quality
9	3.0094295459105194e-4	1	858	Quality
9	3.0094295459105194e-4	1	860	Quality
9	3.0094295459105194e-4	1	862	Quality
9	3.0094295459105194e-4	1	864	Quality
8	2.675048485253795e-4	1	866	Quality
8	2.675048485253795e-4	1	868	Quality
8	2.675048485253795e-4	1	870	Quality
8	2.675048485253795e-4	1	872	Quality
8	2.675048485253795e-4	1	874	Quality
8	2.675048485253795e-4	1	876	Quality
8	2.675048485253795e-4	1	878	Quality
8	2.675048485253795e-4	1	880	Quality
8	2.675048485253795e-4	1	882	Quality
8	2.675048485253795e-4	1	884	Quality
8	2.675048485253795e-4	1	886	Quality
8	2.675048485253795e-4	1	888	Quality
8	2.675048485253795e-4	1	890	Quality
8	2.675048485253795e-4	1	892	Quality
8	2.675048485253795e-4	1	894	Quality
8	2.675048485253795e-4	1	896	Quality
7	2.3406674245970708e-4	1	898	Quality
6	2.0062863639403464e-4	1	900	Quality
6	2.0062863639403464e-4	1	902	Quality
5	1.671905303283622e-4	1	904	Quality
5	1.671905303283622e-4	1	906	Quality
5	1.671905303283622e-4	1	908	Quality
4	1.3375242426268976e-4	1	910	Quality
4	1.3375242426268976e-4	1	912	Quality
4	1.3375242426268976e-4	1	914	Quality
4	1.3375242426268976e-4	1	916	Quality
4	1.3375242426268976e-4	1	918	Quality
4	1.3375242426268976e-4	1	920	Quality
4	1.3375242426268976e-4	1	922	Quality
4	1.3375242426268976e-4	1	924	Quality
4	1.3375242426268976e-4	1	926	Quality
4	1.3375242426268976e-4	1	928	Quality
4	1.3375242426268976e-4	1	930	Quality
4	1.3375242426268976e-4	1	932	Quality
4	1.3375242426268976e-4	1	934	Quality
4	1.3375242426268976e-4	1	936	Quality
4	1.3375242426268976e-4	1	938	Quality
4	1.3375242426268976e-4	1	940	Quality
4	1.3375242426268976e-4	1	942	Quality
4	1.3375242426268976e-4	1	944	Quality
4	1.3375242426268976e-4	1	946	Quality
4	1.3375242426268976e-4	1	948	Quality
4	1.3375242426268976e-4	1	950	Quality
3	1.0031431819701732e-4	1	952	Quality
3	1.0031431819701732e-4	1	954	Quality
3	1.0031431819701732e-4	1	956	Quality
3	1.0031431819701732e-4	1	958	Quality
3	1.0031431819701732e-4	1	960	Quality
3	1.0031431819701732e-4	1	962	Quality
3	1.0031431819701732e-4	1	964	Quality
3	1.0031431819701732e-4	1	966	Quality
2	6.687621213134488e-5	1	968	Quality
2	6.687621213134488e-5	1	970	Quality
2	6.687621213134488e-5	1	972	Quality
2	6.687621213134488e-5	1	974	Quality
2	6.687621213134488e-5	1	976	Quality
2	6.687621213134488e-5	1	978	Quality
2	6.687621213134488e-5	1	980	Quality
2	6.687621213134488e-5	1	982	Quality
2	6.687621213134488e-5	1	984	Quality
2	6.687621213134488e-5	1	986	Quality
2	6.687621213134488e-5	1	988	Quality
2	6.687621213134488e-5	1	990	Quality
2	6.687621213134488e-5	1	992	Quality
2	6.687621213134488e-5	1	994	Quality
2	6.687621213134488e-5	1	996	Quality
2	6.687621213134488e-5	1	998	Quality
2	6.687621213134488e-5	1	1000	Quality
2	6.687621213134488e-5	1	1002	Quality
2	6.687621213134488e-5	1	1004	Quality
2	6.687621213134488e-5	1	1006	Quality
2	6.687621213134488e-5	1	1008	Quality
2	6.687621213134488e-5	1	1010	Quality
2	6.687621213134488e-5	1	1012	Quality
2	6.687621213134488e-5	1	1014	Quality
2	6.687621213134488e-5	1	1016	Quality
2	6.687621213134488e-5	1	1018	Quality
2	6.687621213134488e-5	1	1020	Quality
2	6.687621213134488e-5	1	1022	Quality
2	6.687621213134488e-5	1	1024	Quality
1	3.343810606567244e-5	1	1026	Quality
1	3.343810606567244e-5	1	1028	Quality
1	3.343810606567244e-5	1	1030	Quality
1	3.343810606567244e-5	1	1032	Quality
1	3.343810606567244e-5	1	1034	Quality
1	3.343810606567244e-5	1	1036	Quality
1	3.343810606567244e-5	1	1038	Quality
1	3.343810606567244e-5	1	1040	Quality
1	3.343810606567244e-5	1	1042	Quality
1	3.343810606567244e-5	1	1044	Quality
1	3.343810606567244e-5	1	1046	Quality
1	3.343810606567244e-5	1	1048	Quality
1	3.343810606567244e-5	1	1050	Quality
1	3.343810606567244e-5	1	1052	Quality
1	3.343810606567244e-5	1	1054	Quality
1	3.343810606567244e-5	1	1056	Quality
1	3.343810606567244e-5	1	1058	Quality
1	3.343810606567244e-5	1	1060	Quality
1	3.343810606567244e-5	1	1062	Quality
1	3.343810606567244e-5	1	1064	Quality
1	3.343810606567244e-5	1	1066	Quality
1	3.343810606567244e-5	1	1068	Quality
1	3.343810606567244e-5	1	1070	Quality
1	3.343810606567244e-5	1	1072	Quality
1	3.343810606567244e-5	1	1074	Quality
1	3.343810606567244e-5	1	1076	Quality
1	3.343810606567244e-5	1	1078	Quality
1	3.343810606567244e-5	1	1080	Quality
1	3.343810606567244e-5	1	1082	Quality
1	3.343810606567244e-5	1	1084	Quality
1	3.343810606567244e-5	1	1086	Quality
1	3.343810606567244e-5	1	1088	Quality
1	3.343810606567244e-5	1	1090	Quality
1	3.343810606567244e-5	1	1092	Quality
1	3.343810606567244e-5	1	1094	Quality
1	3.343810606567244e-5	1	1096	Quality
1	3.343810606567244e-5	1	1098	Quality
1	3.343810606567244e-5	1	1100	Quality
1	3.343810606567244e-5	1	1102	Quality
1	3.343810606567244e-5	1	1104	Quality
1	3.343810606567244e-5	1	1106	Quality
1	3.343810606567244e-5	1	1108	Quality
1	3.343810606567244e-5	1	1110	Quality
1	3.343810606567244e-5	1	1112	Quality
1	3.343810606567244e-5	1	1114	Quality
1	3.343810606567244e-5	1	1116	Quality
1	3.343810606567244e-5	1	1118	Quality
1	3.343810606567244e-5	1	1120	Quality
