Time	RSS	CPU
679	3.0g	1185
681	3.0g	1200
684	3.0g	1129
686	3.0g	1177
688	3.0g	1136
690	3.0g	1200
692	3.0g	1146
694	3.0g	1177
696	3.0g	1177
699	3.0g	1185
701	3.0g	1200
703	3.0g	1177
705	3.0g	1200
707	3.0g	1146
709	3.0g	1200
711	3.0g	1200
713	3.0g	1177
716	3.0g	1100
718	3.0g	1200
720	3.0g	1200
722	3.0g	1136
724	3.0g	1200
726	3.0g	1200
728	3.0g	1200
731	3.0g	1200
733	3.0g	1100
735	3.0g	1200
737	3.0g	1146
739	3.0g	1129
741	3.0g	1200
743	3.0g	1200
745	3.0g	1200
748	3.0g	1200
750	3.0g	1093
752	3.0g	1200
754	3.0g	1136
756	3.0g	1200
758	3.0g	1200
760	3.0g	1200
763	3.0g	1146
765	3.0g	1185
767	3.0g	1200
769	3.0g	1200
771	3.0g	1177
773	3.0g	1200
775	3.0g	1143
778	3.0g	1200
780	3.0g	1154
782	3.0g	1185
784	3.0g	1200
786	3.0g	1164
788	3.0g	1136
790	3.0g	1200
792	3.0g	1129
795	3.0g	1200
797	3.0g	1200
799	3.0g	1146
801	3.0g	1200
803	3.0g	1200
805	3.0g	1164
807	3.0g	1200
809	3.0g	1136
812	3.0g	1200
814	3.0g	1177
816	3.0g	1200
818	3.0g	1200
820	3.0g	1200
822	3.0g	1200
824	3.0g	1200
826	2.8g	92.3
829	3.0g	1200
831	3.0g	1138
833	3.0g	1200
835	3.0g	1185
837	3.0g	1200
839	3.0g	1200
841	3.0g	1200
843	3.0g	1185
845	3.0g	1177
848	3.0g	1200
850	3.0g	1200
852	3.0g	1200
854	3.0g	1177
856	3.0g	1185
858	3.0g	1200
860	3.0g	1185
862	3.0g	1200
865	3.0g	1154
867	3.0g	1200
869	3.0g	1185
871	3.0g	1200
873	3.0g	1200
875	3.0g	1200
877	3.0g	1200
879	3.0g	1185
882	3.0g	1200
884	3.0g	1129
886	3.0g	1146
888	3.0g	1146
890	3.0g	1200
892	3.0g	1200
894	3.0g	1200
896	3.0g	1164
899	3.0g	1138
901	3.0g	1146
903	3.0g	1129
905	3.0g	1177
907	3.0g	1185
909	3.0g	1185
911	3.0g	1200
913	3.0g	1200
916	3.0g	1200
918	3.0g	1129
920	3.0g	1200
922	3.0g	1146
924	3.0g	1200
926	3.0g	1200
928	3.0g	1200
930	3.0g	1185
933	3.0g	1177
935	3.0g	1200
937	3.0g	1200
939	3.0g	1200
941	3.0g	1200
943	3.0g	1093
945	3.0g	1200
948	3.0g	1200
950	3.0g	1185
952	3.0g	1185
954	3.0g	1169
956	3.0g	1200
958	3.0g	1200
960	3.0g	1200
962	3.0g	1200
964	3.0g	1200
967	3.0g	1177
969	3.0g	1200
971	3.0g	1171
973	3.0g	1200
975	3.0g	1108
977	3.0g	1177
979	3.0g	1185
981	3.0g	1200
984	3.0g	1200
986	3.0g	1177
988	3.0g	1169
990	3.0g	1200
992	3.0g	1200
994	3.0g	1177
996	3.0g	1200
998	3.0g	1177
1001	3.0g	1200
1003	3.0g	1200
1005	3.0g	1177
1007	3.0g	1200
1009	3.0g	1185
1011	3.0g	1129
1013	3.0g	1177
1016	3.0g	1136
1018	3.0g	1200
1020	3.0g	1129
1022	3.0g	1200
1024	3.0g	1136
1026	3.0g	1200
1028	3.0g	1136
1031	3.0g	1200
1033	3.0g	1177
1035	3.0g	1200
1037	3.0g	1200
1039	3.0g	1200
1041	3.0g	1129
1043	3.0g	1185
1045	3.0g	1200
1048	3.0g	1136
1050	3.0g	1200
1052	3.0g	1086
1054	3.0g	1200
1056	3.0g	1177
1058	3.0g	1146
1060	3.0g	1185
1062	3.0g	1200
1065	3.0g	1121
1067	3.0g	1138
1069	3.0g	1200
1071	3.0g	1200
1073	3.0g	1185
1075	3.0g	1177
1077	3.0g	1177
1080	3.0g	1146
1082	3.0g	1200
1084	3.0g	1200
1086	3.0g	1200
1088	3.0g	1108
1090	3.0g	1146
1092	3.0g	1177
1094	3.0g	1136
1097	3.0g	1185
1099	3.0g	1200
1101	3.0g	1200
1103	3.0g	1200
1105	3.0g	1200
1107	3.0g	1200
1109	3.0g	1200
1111	3.0g	1164
1114	3.0g	1200
1116	3.0g	1185
1118	3.0g	1200
1120	3.0g	1200
1122	3.0g	1138
1124	3.0g	1200
1126	3.0g	1200
1128	3.0g	1200
1131	3.0g	1200
1133	3.0g	1136
1135	3.0g	1185
1137	3.0g	971.4
1139	3.0g	1200
1141	3.0g	1129
1143	3.0g	1200
1146	3.0g	1200
1148	3.0g	1146
1150	3.0g	1154
1152	3.0g	1200
1154	3.0g	1200
1156	3.0g	1185
1158	3.0g	1200
1161	3.0g	1200
1163	3.0g	1200
1165	3.0g	1177
1167	3.0g	1200
1169	3.0g	1138
1171	3.0g	1200
1173	3.0g	1200
1175	3.0g	1200
1178	3.0g	1200
1180	3.0g	1177
1182	3.0g	1164
1184	3.0g	1136
1186	3.0g	1200
1188	3.0g	1146
1191	3.0g	1200
1193	3.0g	1164
1195	3.0g	1185
1197	3.0g	1138
1199	3.0g	1185
1201	3.0g	1185
1203	3.0g	1146
1205	3.0g	1200
1207	3.0g	1200
1210	3.0g	1200
1212	3.0g	1200
1214	3.0g	1107
1216	3.0g	1200
1218	3.0g	1129
1220	3.0g	1177
1222	3.0g	1200
1225	3.0g	1129
1227	3.0g	1100
1229	3.0g	1200
1231	3.0g	1177
