Time	RSS	CPU
555	14.5g	2067
557	14.5g	2000
559	14.5g	2000
561	14.5g	1875
563	14.5g	1817
565	14.5g	1700
567	14.5g	1750
570	14.5g	1677
572	14.5g	1557
574	14.5g	1658
576	14.5g	1577
578	14.5g	1577
580	14.5g	1700
582	14.5g	1585
584	14.6g	1542
586	14.6g	1377
589	14.6g	1369
591	14.6g	1277
593	14.6g	1231
595	14.6g	1177
597	14.6g	1283
599	14.6g	1162
601	14.6g	1123
603	14.6g	1092
606	14.6g	884.6
608	14.6g	884.6
610	14.6g	915.4
612	14.6g	915.4
614	14.6g	907.7
616	14.6g	892.3
618	14.6g	707.7
621	14.6g	692.3
623	14.6g	750.0
625	14.7g	592.3
627	14.7g	592.3
629	14.7g	584.6
631	14.7g	592.3
633	14.7g	607.7
636	14.7g	641.7
638	14.7g	592.3
640	14.7g	607.7
642	14.7g	592.3
644	14.7g	492.3
646	14.7g	492.3
648	14.7g	492.3
650	14.7g	533.3
653	14.7g	392.3
655	14.7g	392.3
657	14.7g	384.6
659	14.7g	392.3
661	14.7g	441.7
663	14.7g	400.0
665	14.7g	392.3
668	14.7g	392.3
670	14.7g	425.0
672	14.7g	433.3
674	14.7g	392.3
676	14.7g	407.7
678	14.7g	392.3
680	14.7g	400.0
682	14.7g	400.0
685	14.7g	400.0
687	14.7g	416.7
689	14.7g	400.0
691	14.7g	392.3
693	14.7g	392.3
695	14.7g	108.3
697	14.7g	100.0
699	14.7g	100.0
702	14.7g	100.0
704	14.7g	100.0
706	14.7g	100.0
708	14.7g	108.3
710	14.7g	100.0
712	14.7g	100.0
714	14.7g	100.0
716	14.7g	108.3
718	14.7g	100.0
721	14.7g	108.3
723	14.7g	100.0
725	14.7g	100.0
727	14.7g	100.0
729	14.7g	100.0
731	14.7g	100.0
733	14.7g	92.3
735	14.1g	69.2
738	12.5g	100.0
740	283024	100.0
742	1.2g	100.0
744	2.1g	100.0
746	3.1g	100.0
748	3.1g	100.0
750	3.0g	100.0
752	3.1g	84.6
755	4.8g	100.0
757	4.8g	2067
759	4.8g	2067
761	4.8g	2000
763	4.8g	2067
765	4.8g	2000
767	4.8g	2031
769	4.8g	2100
771	4.8g	2000
773	4.8g	1992
775	4.8g	1992
777	4.8g	2000
779	4.8g	2000
781	4.8g	2000
783	4.8g	1992
785	4.8g	2000
788	4.8g	2000
790	4.8g	2000
792	4.8g	2000
794	4.8g	2000
796	4.8g	2000
798	4.8g	1992
800	4.8g	1908
802	4.8g	2000
804	4.8g	2000
806	4.8g	2000
808	4.8g	2000
810	4.8g	2000
812	4.8g	1933
814	4.8g	2000
816	4.8g	1900
818	4.8g	1808
820	4.8g	1900
822	4.8g	1900
825	4.8g	1623
827	4.8g	1677
829	4.8g	1677
831	4.8g	1677
833	4.8g	1577
835	4.8g	1577
837	4.8g	1577
839	4.8g	1477
842	4.8g	1600
844	4.8g	1385
846	4.8g	1400
848	4.8g	1283
850	4.8g	1167
852	4.8g	1077
854	4.8g	992.3
856	4.8g	958.3
859	4.8g	884.6
861	4.8g	853.8
863	4.8g	792.3
865	4.8g	684.6
867	4.8g	641.7
869	4.8g	576.9
871	4.8g	592.3
873	4.8g	625.0
875	4.8g	564.3
878	4.8g	633.3
880	4.8g	576.9
882	4.8g	584.6
884	4.8g	600.0
886	4.8g	592.3
888	4.8g	625.0
890	4.8g	641.7
892	4.8g	641.7
895	4.8g	592.3
897	4.8g	592.3
899	4.8g	584.6
901	4.8g	492.3
903	4.8g	376.9
905	4.8g	392.3
907	4.8g	300.0
909	4.8g	300.0
911	4.8g	192.3
914	4.8g	200.0
916	4.8g	192.3
918	4.8g	100.0
920	4.8g	92.3
922	4.8g	100.0
924	4.8g	100.0
926	4.8g	100.0
928	4.8g	92.3
930	4.8g	100.0
933	4.8g	100.0
935	4.8g	100.0
937	4.8g	100.0
939	4.8g	108.3
941	4.8g	92.3
943	4.8g	108.3
945	4.8g	100.0
947	4.8g	92.3
950	4.8g	100.0
952	4.8g	92.3
954	4.8g	100.0
956	4.8g	108.3
958	5.4g	100.0
960	6.7g	100.0
962	7.3g	8.3
964	7.3g	216.7
966	7.3g	216.7
969	7.3g	200.0
971	7.3g	323.1
