Coverage	Type	Algorithm	SeRecall	SePrecision	Metric	Value	Error
30	Canonical	BayesTyper	0.002201190154266121	4.170945612767351e-4	Recall	0.9745	0.002201190154266121
30	Canonical	BayesTyper	0.002201190154266121	4.170945612767351e-4	Precision	0.9979484790132079	4.170945612767351e-4
30	Canonical	GGTyper	0.00396172124869072	3.3137114800181107e-4	Recall	0.8643391521197008	0.00396172124869072
30	Canonical	GGTyper	0.00396172124869072	3.3137114800181107e-4	Precision	0.9985956536585814	3.3137114800181107e-4
30	Canonical	Paragraph(Graph)	0.002627044069713656	0.001800862936028749	Recall	0.6663571428571429	0.002627044069713656
30	Canonical	Paragraph(Graph)	0.002627044069713656	0.001800862936028749	Precision	0.9799638255779924	0.001800862936028749
30	Canonical	Paragraph(VCF)	0.0021708489201263223	0.0026935823418383067	Recall	0.9282142857142858	0.0021708489201263223
30	Canonical	Paragraph(VCF)	0.0021708489201263223	0.0026935823418383067	Precision	0.8524183079042559	0.0026935823418383067
30	Complex	BayesTyper	0.0015972765937704123	1.0535791430580547e-4	Recall	0.9929714285714285	0.0015972765937704123
30	Complex	BayesTyper	0.0015972765937704123	1.0535791430580547e-4	Precision	0.9996546072549578	1.0535791430580547e-4
30	Complex	GGTyper	0.0033199383125926134	1.5011502008396691e-4	Recall	0.9106358711149131	0.0033199383125926134
30	Complex	GGTyper	0.0033199383125926134	1.5011502008396691e-4	Precision	0.999497677796928	1.5011502008396691e-4
30	Complex	Paragraph(Graph)	0.0024668689014357274	0.0029964373721691256	Recall	0.8829142857142858	0.0024668689014357274
30	Complex	Paragraph(Graph)	0.0024668689014357274	0.0029964373721691256	Precision	0.8463184233794676	0.0029964373721691256
30	Complex	Paragraph(VCF)	0.001311798889514169	0.003659497395508831	Recall	0.9638285714285714	0.001311798889514169
30	Complex	Paragraph(VCF)	0.001311798889514169	0.003659497395508831	Precision	0.8221527498651552	0.003659497395508831
