Time	RSS	CPU
678	3.0g	1200
680	3.0g	1200
682	3.0g	1200
684	3.0g	1200
687	3.0g	1200
689	3.0g	1129
691	3.0g	1177
693	3.0g	1036
695	3.0g	1200
697	3.0g	1200
699	3.0g	1200
702	3.0g	1200
704	3.0g	1177
706	3.0g	1200
708	3.0g	1138
710	3.0g	1200
712	3.0g	1185
714	3.0g	1129
716	3.0g	1200
719	3.0g	1136
721	3.0g	1177
723	3.0g	1200
725	3.0g	1200
727	3.0g	1200
729	3.0g	1177
731	3.0g	1200
733	3.0g	1200
736	3.0g	1200
738	3.0g	1183
740	3.0g	1200
742	3.0g	1200
744	3.0g	1200
746	3.0g	1200
748	3.0g	1138
750	3.0g	1177
753	3.0g	1200
755	3.0g	1129
757	3.0g	1185
759	3.0g	1200
761	3.0g	1093
763	3.0g	1200
765	3.0g	1136
768	3.0g	1200
770	3.0g	1200
772	3.0g	1200
774	3.0g	1146
776	3.0g	1200
778	3.0g	1200
780	3.0g	1129
782	3.0g	1154
785	3.0g	1200
787	3.0g	1200
789	3.0g	1146
791	3.0g	1138
793	3.0g	1200
795	3.0g	1177
797	3.0g	1200
799	3.0g	1185
802	3.0g	1200
804	3.0g	1185
806	3.0g	1154
808	3.0g	1146
810	3.0g	1146
812	3.0g	1200
814	3.0g	1057
816	3.0g	1200
818	3.0g	1129
821	3.0g	1200
823	3.0g	1200
825	3.0g	1146
827	3.0g	1200
829	3.0g	1200
831	3.0g	1200
833	3.0g	1185
836	3.0g	1200
838	3.0g	1200
840	3.0g	1200
842	3.0g	1200
844	3.0g	1200
846	3.0g	1177
848	3.0g	1177
850	3.0g	1200
853	3.0g	1129
855	3.0g	1200
857	3.0g	1200
859	3.0g	1131
861	3.0g	1100
863	3.0g	1200
865	3.0g	1200
867	3.0g	1200
870	3.0g	1129
872	3.0g	1200
874	3.0g	1200
876	3.0g	1200
878	3.0g	1200
880	3.0g	1093
882	3.0g	1200
884	3.0g	1115
887	3.0g	1185
889	3.0g	1177
891	3.0g	1129
893	3.0g	1200
895	3.0g	1177
897	3.0g	1138
899	3.0g	1200
901	3.0g	1200
904	3.0g	1200
906	3.0g	1200
908	3.0g	1177
910	3.0g	1129
912	3.0g	1177
914	3.0g	1177
916	3.0g	1200
919	3.0g	1200
921	3.0g	1200
923	3.0g	1200
925	3.0g	1200
927	3.0g	1200
929	3.0g	1177
931	3.0g	1200
933	3.0g	1200
936	3.0g	1146
938	3.0g	1100
940	3.0g	1200
942	3.0g	1200
944	3.0g	1200
946	3.0g	1185
948	3.0g	1200
950	3.0g	1200
953	3.0g	1200
955	3.0g	1200
957	3.0g	1115
959	3.0g	1136
961	3.0g	1200
963	3.0g	1200
965	3.0g	1129
968	3.0g	1185
970	3.0g	1200
972	3.0g	1200
974	3.0g	1185
976	3.0g	1200
978	3.0g	1154
980	3.0g	1185
982	3.0g	1200
985	3.0g	1200
987	3.0g	1200
989	3.0g	1200
991	3.0g	1146
993	3.0g	1129
995	3.0g	1200
997	3.0g	1200
999	3.0g	1200
1002	3.0g	1200
1004	3.0g	1185
1006	3.0g	1093
1008	3.0g	1200
1010	3.0g	1200
1012	3.0g	1200
1014	3.0g	1164
1017	3.1g	1185
1019	3.0g	1200
1021	3.0g	1131
1023	3.0g	1200
1025	3.1g	1177
1027	3.0g	1200
1029	3.1g	1200
1031	3.0g	1146
1033	3.0g	1200
1036	3.1g	1185
1038	3.0g	1177
1040	3.0g	1200
1042	3.0g	1177
1044	3.0g	1200
1046	3.0g	1200
1048	3.1g	1200
1050	3.1g	1200
1053	3.1g	1100
1055	3.1g	1136
1057	3.1g	1200
1059	3.1g	1200
1061	3.1g	1177
1063	3.1g	1158
1065	3.1g	1200
1067	3.1g	1200
1070	3.1g	1200
1072	3.1g	1200
1074	3.1g	1200
1076	3.1g	1146
1078	3.1g	1129
1080	3.1g	1138
1082	3.1g	1146
1084	3.1g	1185
1087	3.1g	1129
1089	3.1g	1200
1091	3.1g	1200
1093	3.1g	1200
1095	3.1g	1200
1097	3.1g	1177
1099	3.1g	1200
1101	3.1g	1136
1104	3.1g	1200
1106	3.1g	1200
1108	3.1g	1185
1110	3.1g	1200
1112	3.1g	1138
1114	3.1g	1185
1116	3.1g	1200
1118	3.1g	1200
1121	3.1g	1200
1123	3.1g	1183
1125	3.1g	1200
1127	3.1g	1157
1129	3.1g	1200
1131	3.1g	1200
1133	3.1g	1100
1135	3.1g	1200
1138	3.1g	1200
1140	3.1g	1146
1142	3.1g	1200
1144	3.1g	1200
1146	3.1g	1169
1148	3.1g	1185
1150	3.1g	1200
1152	3.1g	1200
1154	3.1g	1200
1157	3.1g	1200
1159	3.1g	1185
1161	3.1g	1200
1163	3.1g	1200
1165	3.1g	1185
1167	3.1g	1200
1169	3.1g	1185
1172	3.1g	1146
1174	3.1g	1200
1176	3.1g	1138
1178	3.1g	1177
1180	3.1g	1177
1182	3.1g	1200
